country,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Birthrate,Deathrate,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,CountryDisplay,Numeric,SexDisplay,YearCode
Portugal,WESTERN EUROPE                     ,10605870,92391,114.79,1.94,3.57,5.05,18000,93.3,399.21,21.75,7.81,70.44,10.72,10.5,194.0,67.0,339.0,10.62,Portugal,24.19125,Both sexes,2013
Qatar,NEAR EAST                          ,885359,11437,77.41,4.92,16.29,18.61,21500,82.5,232.0,1.64,0.27,98.09,15.56,4.72,1.0,42.0,7.0,0.885,Qatar,22.227320000000002,Both sexes,2013
Romania,EASTERN EUROPE                     ,22303552,237500,93.91,0.09,-0.13,26.43,7000,98.4,196.87,40.82,2.25,56.93,10.7,11.77,297.0,122.0,167.0,10.3722,Romania,19.80371,Both sexes,2013
Russian Federation,C.W. OF IND. STATES ,142893540,17075200,8.37,0.22,1.02,15.39,8900,99.6,280.63,7.33,0.11,92.56,9.95,14.65,247.0,326.0,73.0,11.4342,Russian Federation,17.3679,Both sexes,2013
Rwanda,SUB-SAHARAN AFRICA                 ,8648248,26338,328.36,0.0,0.0,91.23,1300,70.4,2.66,40.54,12.16,47.3,40.37,16.09,43.0,2.0,0.0,0.7965,Rwanda,18.089570000000002,Both sexes,2013
Saint Kitts and Nevis,LATIN AMER. & CARIB    ,39129,261,149.92,51.72,-7.11,14.49,8800,97.0,638.91,19.44,2.78,77.78,18.02,8.33,194.0,205.0,32.0,7.6287,Saint Kitts and Nevis,18.821620000000003,Both sexes,2013
Saint Lucia,LATIN AMER. & CARIB    ,168458,616,273.47,25.65,-2.67,13.53,5400,67.0,303.34,6.56,22.95,70.49,19.68,5.08,171.0,315.0,71.0,9.8589,Saint Lucia,21.17333,Both sexes,2013
Saint Vincent and the Grenadines,LATIN AMER. & CARIB    ,117848,389,302.95,21.59,-7.64,14.78,2900,96.0,190.92,17.95,17.95,64.1,16.18,5.98,120.0,221.0,11.0,6.2303999999999995,Saint Vincent and the Grenadines,20.75205,Both sexes,2013
Samoa,OCEANIA                            ,176908,2944,60.09,13.69,-11.7,27.71,5600,99.7,75.18,21.2,24.38,54.42,16.43,6.62,105.0,18.0,24.0,2.6018999999999997,Samoa,18.877270000000003,Both sexes,2013
San Marino,WESTERN EUROPE                     ,29251,61,479.52,0.0,10.98,5.73,34600,96.0,704.25,16.67,0.0,83.33,10.02,8.17,0.0,0.0,0.0,0.0,San Marino,25.006510000000002,Both sexes,2013
Sao Tome and Principe,SUB-SAHARAN AFRICA                 ,193413,1001,193.22,20.88,-2.72,43.11,1200,79.3,36.19,6.25,48.96,44.79,40.25,6.47,56.0,38.0,140.0,4.1418,Sao Tome and Principe,18.2137,Both sexes,2013
Saudi Arabia,NEAR EAST                          ,27019731,1960582,13.78,0.13,-2.71,13.24,11800,78.8,140.64,1.67,0.09,98.24,29.34,2.58,0.0,5.0,0.0,0.08850000000000001,Saudi Arabia,19.20801,Both sexes,2013
Senegal,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,0.27,0.2,55.51,1600,40.2,22.24,12.78,0.21,87.01,32.78,9.42,9.0,1.0,7.0,0.3009,Senegal,16.21535,Both sexes,2013
Serbia,EASTERN EUROPE                     ,9396411,88361,106.34,0.0,-1.33,12.89,2200,93.0,285.79,33.35,3.2,63.45,,,283.0,131.0,127.0,9.5757,Serbia,18.94268,Both sexes,2013
Seychelles,SUB-SAHARAN AFRICA                 ,81541,455,179.21,107.91,-5.69,15.53,7800,58.0,262.44,2.22,13.33,84.45,16.03,6.29,157.0,25.0,51.0,4.1241,Seychelles,20.15065,Both sexes,2013
Sierra Leone,SUB-SAHARAN AFRICA                 ,6005250,71740,83.71,0.56,0.0,143.64,500,31.4,4.0,6.98,0.89,92.13,45.76,23.03,25.0,3.0,2.0,0.531,Sierra Leone,12.52842,Both sexes,2013
Singapore,ASIA (EX. NEAR EAST)         ,4492150,693,6482.18,27.85,11.53,2.29,23700,92.5,411.38,1.64,0.0,98.36,9.34,4.28,60.0,12.0,11.0,1.4690999999999999,Singapore,25.091260000000002,Both sexes,2013
Slovakia,EASTERN EUROPE                     ,5439448,48845,111.36,0.0,0.3,7.41,13300,,220.06,30.16,2.62,67.22,10.65,9.45,196.0,293.0,116.0,10.7085,Slovakia,20.66123,Both sexes,2013
Slovenia,EASTERN EUROPE                     ,2010347,20273,99.16,0.23,1.12,4.45,19000,99.7,406.1,8.6,1.49,89.91,8.98,10.31,270.0,51.0,276.0,10.5669,Slovenia,23.45852,Both sexes,2013
Solomon Islands,OCEANIA                            ,552438,28450,19.42,18.67,0.0,21.29,1700,,13.4,0.64,2.0,97.36,30.01,3.92,56.0,11.0,1.0,1.2035999999999998,Solomon Islands,16.912570000000002,Both sexes,2013
